-2,0,Age,Attrition,Attrition Count,Attrition Rate,Business Travel,CF_age band,CF_attrition label,CF_current Employee,Daily Rate,Department,Sum of Distance From Home,Education Field,Education,emp no,Employee Count,Employee Number,Environment Satisfaction,Gender,Hourly Rate,Job Involvement,Job Level,Job Role,Job Satisfaction,Marital Status,Monthly Income,Monthly Rate,Num Companies Worked,Over Time,Over18,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Sort Age,Stock Option Level,Total Working Years,Training Times Last Year,Work Life Balance,Years At Company,Years With Curr Manager,Years Since Last Promotion,Years In Current Role
-2,0,18,No,0,0.00%,Non-Travel,Under 25,Current Employees,1,287,R&D,5,Life Sciences,Associates Degree,STAFF-1012,1,1012,2,Male,73,3,1,Research Scientist,4,Single,1051,13493,1,No,Y,15,3,4,80,1,0,0,2,3,0,0,0,0
-2,0,18,No,0,0.00%,Non-Travel,Under 25,Current Employees,1,1124,R&D,1,Life Sciences,Bachelor's Degree,STAFF-1368,1,1368,4,Female,97,3,1,Laboratory Technician,4,Single,1611,19305,1,No,Y,15,3,3,80,1,0,0,5,4,0,0,0,0
-2,0,18,No,0,0.00%,Non-Travel,Under 25,Current Employees,1,1431,R&D,14,Medical,Bachelor's Degree,STAFF-1839,1,1839,2,Female,33,3,1,Research Scientist,3,Single,1514,8018,1,No,Y,16,3,3,80,1,0,0,4,1,0,0,0,0
-2,0,18,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,812,Sales,10,Medical,Bachelor's Degree,STAFF-411,1,411,4,Female,69,2,1,Sales Representative,3,Single,1200,9724,1,No,Y,12,3,1,80,1,0,0,2,3,0,0,0,0
-2,0,18,Yes,1,100.00%,Non-Travel,Under 25,Ex-Employees,0,247,R&D,8,Medical,High School,STAFF-1156,1,1156,3,Male,80,3,1,Laboratory Technician,3,Single,1904,13556,1,No,Y,12,3,4,80,1,0,0,0,3,0,0,0,0
-2,0,18,Yes,1,100.00%,Travel_Frequently,Under 25,Ex-Employees,0,544,Sales,3,Medical,Associates Degree,STAFF-1624,1,1624,2,Female,70,3,1,Sales Representative,4,Single,1569,18420,1,Yes,Y,12,3,3,80,1,0,0,2,4,0,0,0,0
-2,0,18,Yes,1,100.00%,Travel_Frequently,Under 25,Ex-Employees,0,1306,Sales,5,Marketing,Bachelor's Degree,STAFF-614,1,614,2,Male,69,3,1,Sales Representative,2,Single,1878,8059,1,Yes,Y,14,3,4,80,1,0,0,3,3,0,0,0,0
-2,0,18,Yes,1,100.00%,Travel_Rarely,Under 25,Ex-Employees,0,230,R&D,3,Life Sciences,Bachelor's Degree,STAFF-405,1,405,3,Male,54,3,1,Laboratory Technician,3,Single,1420,25233,1,No,Y,13,3,3,80,1,0,0,2,3,0,0,0,0
-2,0,19,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,265,R&D,25,Life Sciences,Bachelor's Degree,STAFF-1269,1,1269,2,Female,57,4,1,Research Scientist,4,Single,2994,21221,1,Yes,Y,12,3,4,80,1,0,1,2,3,1,1,0,0
-2,0,19,No,0,0.00%,Travel_Rarely,Under 25,Current Employees,1,645,R&D,9,Life Sciences,Associates Degree,STAFF-1193,1,1193,3,Male,54,3,1,Research Scientist,1,Single,2552,7172,1,No,Y,25,4,3,80,1,0,1,4,3,1,0,0,1
